actual_headline,mt5_headline,mbart_headline,lstm_headline
မော်လ်တာကမ်းလွန်၌ လှေမှောက်မှု ရွှေ့ပြောင်းနေထိုင်သူ ၅ ဦး သေဆုံး,မော်လ်တာကမ်းလွန်တွင် တိမ်းမှောက်သွားသည့်လှေ ကယ်ဆယ်မှုကြောင့် ရွှေ့ပြောင်းနေထိုင်သူ ၅ ဦးသေဆုံး,မော်လ်တာကမ်းလွန်တွင် တိမ်းမှောက်သွားသည့်လှေ ကယ်ဆယ်ခံရ,မော်လ်ဗျားတွင်ရေပြောင်းရွှေ့ပြောင်းလုပ်သား၁ဦးသေဆုံး
၁၀ နှစ်ကြာ လုံခြုံရေးပူးပေါင်းဆောင်ရွက်မှု သဘောတူညီချက်ကို ဒိန်းမတ်နှင့် ယူကရိန်း လက်မှတ်ထိုး,ဒိန်းမတ်က ယူကရိန်းနှင့် ၁၀ နှစ်ကြာ လုံခြုံရေးပူးပေါင်းဆောင်ရွက်မှုဆိုင်ရာ သဘောတူညီချက် လက်မှတ်ရေးထိုး,ဒိန်းမတ်နှင့် ယူကရိန်း ၁၀ နှစ်ကြာ လုံခြုံရေးပူးပေါင်းဆောင်ရွက်မှုသဘောတူညီချက် လက်မှတ်ထိုး,အမေရိကန်အဖွဲ့အအအအအအအအအအအအအအ
စစ်ပွဲလွန်ဂါဇာ၏ လုံခြုံရေးနှင့်အရပ်ဘက်ရေးရာများကို ထိန်းချုပ်မည့် အစီအစဉ် နေတန်ယာဟု ထုတ်ပြန်,စစ်ပွဲလွန်ဂါဇာကမ်းမြောင်ဒေသ လုံခြုံရေးနှင့် အရပ်ဘက်ရေးရာများကို အဆုံးမရှိထိန်းချုပ်မည်ဟု အစ္စရေးဝန်ကြီးချုပ် ချပြ,စစ်ပွဲလွန်ဂါဇာဒေသလုံခြုံရေးနှင့် အရပ်ဘက်ရေးရာများကို ထိန်းချုပ်မည့်အစီအစဉ် အစ္စရေးအစိုးရ ထုတ်ပြန်,စစ်ကောင်စီအအအအအအအအအအအအအအအအအ
ယူကရိန်းကျူးကျော်မှုနှင့် နာဗယ်လ်ညီ သေဆုံးမှုအတွက် လူ ၅၀၀ ကို ပိတ်ဆို့အရေးယူဟု အမေရိကန် သမ္မတ ပြော,မော်စကိုက ယူကရိန်းကို ကျူးကျော်သိမ်းပိုက်မှု ဒုတိယ နှစ်ပတ်လည်အထိမ်းအမှတ်နှင့် ရုရှားအတိုက်အခံခေါင်းဆောင် နာဗယ်လ်ညီ သေဆုံး,ရုရှားအတိုက်အခံခေါင်းဆောင် နာဗယ်လ်ညီ သေဆုံးမှုအတွက် အမေရိကန် လက်တုံ့ပြန်,အမေရိကန်အအအအအအအအအအအအအအအအ
ဂျာမနီတွင် ဆေးခြောက်ကို တရားဝင်သုံးစွဲ ခွင့်ပြု၊ ဝယ်ယူရ ခက်ခဲစေရန် စီမံထား,ဂျာမနီပါလီမန်လွှတ်တော်က ဆေးခြောက်ကို အပန်းဖြေရန် သုံးစွဲသည့် ဥပဒေ အတည်ပြု,ဂျာမနီတွင် ဆေးခြောက်ကို တရားဝင်သုံးစွဲခွင့်ပြုသည့်ဥပဒေ အတည်ပြု,ဂျာမနီတွင်ဆေးခြောက်မှုများကိုအသုံးစွဲရန်အဆေး
နာဗယ်လ်ညီ၏ လျှို့ဝှက်ဈာပနကို သဘောမတူဟု မိခင် ပြော,ရုရှားနိုင်ငံရေးသမား အသက် ၄၇ နှစ်အရွယ် အလက်ဇီ နာဗယ်လ်ညီသေဆုံးမှုအတွက် လျှို့ဝှက်ဈာပနလုပ်ရန် ကုစမ်းစစ်ဆေးရေးမှူးများ စီစဉ်,နာဗယ်လ်ညီ၏ လျှို့ဝှက်ဈာပနကို ရုရှားစုံစမ်းစစ်ဆေး,ရုဗယ်လ်သအအအအအအအအအအအအသမ္မတဟောင်းပြော
တောင်ကိုရီးယားတွင် ဆရာဝန်များသပိတ်မှောက်နေချိန် တယ်လီဆေးဝါးဝန်ဆောင်မှု ခွင့်ပြုမည်,တောင်ကိုရီးယားအလုပ်သင်ဆရာဝန်များ စုပေါင်းသပိတ်မှောက်မှု မပြီးမချင်း တယ်လီဆေးဝါးဝန်ဆောင်မှု အပြည့်အဝခွင့်ပြုမည်,တောင်ကိုရီးယားတွင် အလုပ်သင်ဆရာဝန်များ သပိတ်မှောက်နေချိန် တယ်လီဆေးဝါးဝန်ဆောင်မှု ခွင့်ပြု,တောင်ကိုရီးယားတွင်ရုံဝန်ထမ်းများကိုအအအရုံကိုဆေးရုံဝန်ထမ်းများ
ဂါဇာတွင် ‘ဒဏ်ရာရကလေးငယ်၊ ကျန်ရစ်သူမိသားစုမရှိ (WCNSF)’ ဆိုသည့် ဝေါဟာရသစ် ပေါ်ထွက်,ဂါဇာကမ်းမြောင်တွင် အတိုကောက်ဝေါဟာရသစ် ပေါ်ပေါက်လာ,ဒဏ်ရာရကလေးငယ်၊ ကျန်ရစ်သူမိသားစုမရှိ (WCNSF),ဂါဇာတွင်ကလေးများအအအအအအအအမရှိ
မွတ်ဆလင်မိသားစုကို ကားဖြင့်တိုက်သတ်ခဲ့သည့် ကနေဒါနိုင်ငံသား ၁ ဦး ထောင်ဒဏ်တသက် ချမှတ်ခံရ,မွတ်ဆလင်မိသားစု ၄ ဦးကို ပစ်ကပ်ထရပ်ကားဖြင့် သတ်ပစ်,ကနေဒါလူမျိုး လူဖြူအမျိုးသားရေးဝါဒီ ပစ်သတ်ခံရ,အမျိုးသား၁ဦးကိုပစ်သတ်ခံရသည့်သည့်အသားအဦးကိုအဒဏ်ရာ
ဆန္ဒပြ အိန္ဒိယလယ်သမားများကို ဆစ်ခ်စစ်သည်တော်များအဖွဲ့ ဝန်းရံ,နီဟန်းဆစ်ခ်စစ်သည်တော်များအဖွဲ့ ဆန္ဒပြလယ်သမားများဆီ လာရောက် အားဖြည့်ဝန်းရံ,ဆန္ဒပြ အိန္ဒိယလယ်သမားများကို ဆစ်ခ်စစ်သည်တော်များအဖွဲ့ ကူညီ,အာဂျင်တီးနားတွင်ဆန္ဒပြပွဲများသမားများကိုသမားများဆန္ဒပြ
